,cityname,latitude,long,country,Hotel Name
9,Alyangula,-13.85,136.42,AU,Groote Eylandt Lodge
19,Busselton,-33.65,115.33,AU,Esplanade Hotel
33,George Town,5.41,100.34,MY,The Gurney Resort Hotel and Residences
38,Bac Lieu,9.29,105.72,VN,Hotels Tran Vinh
39,Bairiki Village,1.33,172.98,KI,Tarawa Boutique Hotel
51,Alice Springs,-23.7,133.88,AU,DoubleTree by Hilton Hotel Alice Springs
58,Port Keats,-14.25,129.55,AU,TDC Village (Hundred Man Camp)
66,Hervey Bay,-25.3,152.85,AU,Shelly Bay Resort
85,Santa Rosa,14.31,121.11,PH,El Cielito Hotel - Sta. Rosa
142,Charlestown,-32.95,151.67,AU,Best Western Plus Apollo International
288,Bengkulu,-3.8,102.27,ID,OYO 1669 Hotel Vista Syariah
294,San Juan,-31.54,-68.54,AR,Hotel Viñas del Sol
348,Nelson Bay,-32.72,152.15,AU,Ramada Resort by Wyndham Shoal Bay
401,Clarence Town,-32.58,151.78,AU,Erringhi Hotel
428,Bundaberg,-24.85,152.35,AU,Burnett Riverside Hotel
435,Banjar,-8.19,114.97,ID,Lilin Lovina Beach Hotel
437,Taytay,14.57,121.14,PH,Thunderbird Resorts and Casinos Rizal
525,City of San Pedro,14.35,121.02,PH,Palines Apartment and Guesthouse
527,Tebingtinggi,3.33,99.16,ID,OYO 519 Coin Mulia Hotel
542,Gondanglegi,-7.75,112.01,ID,Adisurya Hotel
